Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-05-02,53.8293,54.5621,53.0878,53.5174,93375.015410981
2016-05-04,53.3615,54.2033,53.3299,54.2033,250547.09266778
2016-05-05,53.6341,53.8293,52.4249,53.0486,225101.23022655
2016-05-06,52.6593,53.306,51.6452,52.6124,244103.83193214
2016-05-09,52.6124,52.7368,52.0814,52.3005,307681.37970357
2016-05-10,52.2297,52.4402,51.2941,52.2068,160734.47709246
2016-05-11,51.9724,52.5416,51.6452,51.9571,211004.24543083
2016-05-12,52.3235,52.9243,51.9179,52.643,213913.32956894
2016-05-13,52.7369,52.9632,52.0193,52.6199,225591.47832601
2016-05-16,52.2689,53.6497,52.2689,52.9398,197641.06482661
2016-05-17,52.9398,53.6418,52.5263,53.6418,261606.42079611
2016-05-18,53.6263,54.0164,52.7369,54.0164,174934.94709468
2016-05-19,53.0412,53.0412,49.6164,52.4249,769699.96918907
2016-05-20,53.1232,53.1328,50.9899,51.7361,549646.51736817
2016-05-23,51.717,53.1806,51.6596,52.9989,146838.19087903
2016-05-24,53.5346,55.3905,52.1857,52.2623,557068.18369248
2016-05-25,52.1857,52.3292,51.0856,51.5543,820626.18914035
2016-05-27,50.7986,51.9083,50.6072,51.6404,581573.27152921
2016-05-30,51.4682,51.5735,50.6551,51.0569,57062.160982783
2016-05-31,51.3056,51.5639,48.5504,49.421,617498.31775933
2016-06-01,49.3636,49.3636,47.1824,47.7373,214319.9532591
2016-06-02,47.7277,48.7896,46.7902,48.5122,175549.58650295
2016-06-03,49.0574,50.6742,48.7896,50.6742,185112.03770503
2016-06-06,50.7029,50.7029,49.7558,50.0524,166960.31436396
2016-06-07,50.215,51.4587,50.0619,51.4587,141865.67444174
2016-06-08,50.9038,52.1283,50.789,51.0856,194578.32083643
2016-06-09,50.7029,51.7457,50.0332,50.5785,89572.195398609
2016-06-10,50.6072,51.6404,49.7749,50.2246,488122.99414987
2016-06-13,49.7367,49.9567,48.3208,48.7896,136038.09841949
2016-06-14,48.7991,49.1722,47.125,47.8329,279715.28662743
2016-06-15,48.6748,48.7704,47.5651,48.1295,201416.70690596
2016-06-16,46.8763,47.479,46.1396,46.1396,143157.67156524
2016-06-17,46.3118,47.8329,46.2066,47.3833,290201.78755215
2016-06-20,48.78,49.6601,47.8425,49.3636,108396.04992934
2016-06-21,49.2679,49.8515,48.7896,49.2679,235784.2485131
