Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-04-28,45.9108,47.4092,45.6479,46.9056,1631501.9230041
2016-04-29,47.1545,47.1545,46.1997,46.2129,1704080.3172757
2016-05-02,46.4815,47.1202,45.6683,46.1449,661325.85778539
2016-05-04,46.1449,46.4889,44.7341,45.1714,1543535.3654454
2016-05-05,45.1714,45.372,43.9137,44.9355,1058313.6023694
2016-05-06,44.8946,45.2041,43.8129,44.7473,1520734.015559
2016-05-09,44.9486,45.5742,44.459,44.8012,877677.32718718
2016-05-10,44.929,45.372,43.6918,44.2297,1294735.6333156
2016-05-11,44.2297,46.0041,43.9612,45.4129,1326164.1249052
2016-05-12,45.769,46.637,45.769,46.4152,1286746.0012343
2016-05-13,46.4152,46.5822,46.1318,46.2129,1080584.9155204
2016-05-16,46.1997,47.2405,46.1997,46.4749,971767.39670783
2016-05-17,46.5478,47.0185,45.7085,45.742,822183.45801258
2016-05-18,45.742,46.045,45.3245,45.5013,1075766.9548722
2016-05-19,45.4407,46.0721,44.572,44.6736,1152199.7176624
2016-05-20,44.6326,46.2727,44.1831,46.2727,1216933.812506
2016-05-23,46.2464,46.3872,45.4325,45.8632,668136.9519641
2016-05-24,46.0245,46.6632,45.5275,46.5151,1013472.9830641
2016-05-25,46.6493,47.7244,46.448,47.0538,1933747.433052
2016-05-27,47.4092,47.5901,46.2194,46.5822,1284766.3018146
2016-05-30,46.5822,46.7173,46.2464,46.3816,424191.81896649
2016-05-31,46.4954,47.2888,46.4954,46.5011,2589297.8444735
2016-06-01,46.7173,47.2487,46.1727,46.3816,1684317.518997
2016-06-02,46.3816,46.5822,45.8699,46.1793,1182476.539571
2016-06-03,46.3136,46.9383,45.8969,46.6771,1317133.9598778
2016-06-06,46.7836,46.8188,45.4407,45.6421,1071242.1020961
2016-06-07,45.7085,46.8909,45.7085,46.2596,1324723.0112005
2016-06-08,46.2538,47.2143,45.9173,46.6018,1346643.8161877
2016-06-09,46.3816,46.7173,45.4735,45.5275,782264.60839352
2016-06-10,45.7085,45.8027,44.8144,45.5873,624700.80787943
2016-06-13,45.0436,46.448,44.902,46.2129,836119.51604976
2016-06-14,45.991,46.0844,45.0436,45.5128,1302958.5304118
2016-06-15,45.5668,45.5668,44.9421,45.3932,995394.33376744
2016-06-16,44.8349,46.045,44.7816,45.5873,1905618.8475895
2016-06-17,45.6421,46.018,45.0362,45.7085,2171063.4430082
2016-06-20,46.2129,47.0465,45.8837,46.2129,1054454.3487197
2016-06-21,45.9173,46.3947,45.6274,46.3947,847058.54609437
2016-06-22,46.3816,46.9186,46.1449,46.8851,1001699.8168667
2016-06-23,46.9793,48.7659,46.7238,48.7659,1461448.0632887
2016-06-24,39.6591,47.6925,39.6591,46.4152,1369237.5479981
2016-06-27,46.1449,47.1881,45.7551,46.5895,1107798.7601653
2016-06-28,47.2348,47.2552,46.3872,47.0185,1962870.1427141
2016-06-29,47.3011,47.3011,46.7566,46.8851,2506985.8262815
2016-06-30,46.5151,46.9989,46.2538,46.4152,1998846.691453
2016-07-01,46.7566,46.8188,45.8772,46.2661,863036.58897408
2016-07-04,45.8157,45.9436,45.1043,45.5742,1228240.4486736
2016-07-05,45.7028,45.7028,44.9486,45.1304,999853.23727228
2016-07-06,45.1304,45.2311,44.1962,44.5999,1799302.5159525
2016-07-07,44.7873,45.1583,44.31,44.7136,1214886.9425323
2016-07-08,44.929,44.929,43.0539,43.0539,1895171.9945135
2016-07-11,43.5583,43.8334,42.7174,43.4036,2645022.5360974
2016-07-12,43.275,44.3247,43.2275,44.3247,1403834.0471723
2016-07-13,44.4983,44.9969,43.4093,43.7662,2056119.969668
2016-07-14,44.3828,44.3828,42.5111,43.1349,2343968.9980629
2016-07-15,43.4821,43.9603,43.0302,43.7589,1625739.910751
2016-07-18,44.0373,45.4375,44.0373,45.3196,1174698.1894143
2016-07-19,45.3826,46.0139,45.0903,45.9722,1130231.2826459
2016-07-20,46.1793,46.2416,44.7513,44.7996,1962335.2208475
2016-07-21,45.0566,45.0566,43.7376,44.938,1179346.3917532
2016-07-22,44.938,44.9863,44.1126,44.2232,659264.33241804
2016-07-25,44.3828,45.2083,44.3772,45.132,824380.54577079
2016-07-26,45.0354,46.0761,44.8758,45.5545,1397235.4562009
